"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000005af2ddc1a93a03e9b7014064d3b8d","1E-09","No"
"0x000000000035b5e5ad9019092c665357240f594e","1E-09","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","0.246408349","No"
"0x00000000500e2fece27a7600435d0c48d64e0c00","0.02080375","No"
"0x007933790a4f00000099e9001629d9fe7775b800","4E-09","No"
"0x01a92434a09cc03a2c5fa843b237c4a41ceca68e","49837.89874597","No"
"0x0322688a53a5f3d9f1281fe86e25e4a27c540949","34636.591600906","No"
"0x039dc7c4a5769ca80c9e5c0cee5c8b287faeb3af","138051.028121299","No"
"0x054b905ca86e9a2520b4239f716c9a26db8e545c","158621.076597996","No"
"0x0567c5e3c44ca2b1c7eb55308383036db0a7a29f","1E-09","No"
"0x05b50d81d25fc8c3549c5492a7bbd1469b2c8dea","135107.914306636","No"
"0x062e95a74982cb61afd1394e5363468a58e53fdd","28579.351847609","No"
"0x06d77d325bf6c1f88ec6e2e6d9f8472c63f4d4f9","978.00536442","No"
"0x09393132f2c772dab645a1ec1d963a54469e0009","9443.879381712","No"
"0x098f40e66422e84eeee45c7db6586065b6761c12","3160.003989859","No"
"0x0e9e8b41e2439bd9b66dc73bb8566f8ac96e1c34","27696.02484083","No"
"0x1111111254eeb25477b68fb85ed929f73a960582","1E-09","No"
"0x120ea1622c4b3fc28795c040b6dad819cba4b226","34665.339119645","No"
"0x15284e820a145a23ef18a70ae0ce71c1a4b71061","14400","No"
"0x152d317ee4f7a151ca5c37f141fffd83a179e5d7","69538.924613048","No"
"0x15392ab17b9e1ba9a21768f8a55a279dc6e92787","20569.347998186","No"
"0x17ac06e433ae02dd9267bf542acd7a10b5b4dd7f","45608.665038836","No"
"0x1a3bbca97f2d3c4469f0a44ba791fbc5e41c07a2","122667.242175162","No"
"0x1a41b9095ae6b7d7819e15a5f8184bc1cea7b311","86817.698656684","No"
"0x1ac66081349819a5abd24b96016b63e763506c44","0.939327114","No"
"0x1deddcfff32ea23a7cc8f25f1004c34191587ee8","8454.131889319","No"
"0x1ece0785434b397aa8323dbe2b2666ddd70d8e18","26559.435366668","No"
"0x1f03047718440e0b3d52b00c923db5c33f0e02c0","41556.616101387","No"
"0x1f6ffe99cb5ab9c042bf724d52062ae911779c0b","0.439333176","No"
"0x21d8fde15f20189a8592ae9761fbbfb500f5e511","31112.588356768","No"
"0x221bc159ad348352d75c61399a8749f5d78ef414","15449.038916635","No"
"0x248f4996b23c6daf8111c808346b92c49111d6fa","8295.101144503","No"
"0x261662d4c76b4a362f6d6567b7b180f9682365e3","50006.901431509","No"
"0x262836a3c29b2f1123696d2f457b0468d4de0aa4","7635.539391341","No"
"0x26d7d7a8659d79831a79713caf8e8c22699b4241","89961.488138262","No"
"0x281054ed6658ebaa6fb35bb9500f2da098ad76c3","31414.768507303","No"
"0x29477a93e19f6c0469cb90bfd96123c6646ab443","21615.841330777","No"
"0x2b76f146295f69518274f905379504a319088272","42241.885851945","No"
"0x2de3c2845ec1b51201bb9166036995049b993c1b","12233.057846322","No"
"0x2e8867fac4e2f29a399157626e45a2a5aafb2797","34528.232969126","No"
"0x2ec1eaca4ca25899dd3ed79b81cfbc167ed5b8a4","9211.247166773","No"
"0x2f08dc19be8cbf19b57ce6188c0af5752a4781c3","488.86369416","No"
"0x2f17d2a7d5250778fab7f59a3f60898a53a3fe23","6614.84505879","No"
"0x2f207fec4f9a1394debbf6090a1d2fb1a38d5081","15051.606333784","No"
"0x2ff162e2c62fdc6112d9f304b416fb48bd120b32","8990.232736224","No"
"0x30c2d9dd59255d91b28282e13bda54c9b1a5e8c2","0.699023815","No"
"0x3119c0152b160c6878caf34cb3c972f4888b90c6","0.093020541","No"
"0x336be119324b911dea601a591811d7a98760ffd9","34058.126177025","No"
"0x34396196e9efcfc983f90fd4b1edb1fe95c7eaa1","8497.733550885","No"
"0x3454cec123c47e59de6b72f4cf46a8434cbf1e04","29376.114600972","No"
"0x34a2fb9d2674eaf5b1bdc628f8fa5c0ad205e1b8","7680","No"
"0x370f9b0c40708c68bad6f9ecfb679f613f49296c","1135.948253139","No"
"0x3861ccc2be6c014a0caf115dae0045eb26e8c284","16935.982281015","No"
"0x38da11cc4bd967a2307b34611c542d2b4e1c4576","18030.517343267","No"
"0x39e9a7bcb1af23c9b1273ab684cc16b091a745b3","50200.655111201","No"
"0x3b57d8d5e2450502923d46d319c3e7113ddf9af8","0.349177579","No"
"0x3bd7f33540bc3224b5d2ff01baa02cd71d762a65","2036.643517352","No"
"0x3c005ba2000f0000ba000d69000ac8ec003800bc","1E-09","No"
"0x3d139a2f70f0d223319d05544ce939d744a0b247","42240","No"
"0x3ecde7200d46c431ff9beeda05e7967aa4a84625","4160.765256659","No"
"0x415c88c6e4343dd04623268afb440bb7dcb429c1","1E-09","No"
