,Wallet_Address,Tokens_Traded,Positive_Trades,Negative_Trades,Still_Holding_OR_Dusted,Sold_Incrementally_(NotJet),Transfer_To_Other_Account_OR_NULL,Transfer_Stablecoin,Average_Profit
1,0x3f1988b7560775c77c91e170de2d07d1b0adf091,22,15,7,7,0,0,0,587.6951143835892
2,0xc19cf595fb0c64e12403ea2977418755caf91df2,26,2,2,9,3,4,0,548.6012751853583
3,0xe7e0e2a648ac31b138857b135172ac79ddefeffa,74,28,20,54,5,6,2,347.8686155382189
4,0x752258acf1bdb774de9bc3f3a726b9fb77cc6345,134,53,7,90,5,8,2,401.3982479059132
5,0xa7d687b55738826dab49f5b50211deabcb6c6cf3,139,4,1,97,6,14,2,388.6222219002459
6,0x5aeb224763ff4d289498e8db86ba56f8c7427383,184,31,14,121,6,14,2,327.4675176262279
7,0xd6d09f269187866d648e5e619f75cd8e9e3f615f,245,40,21,160,6,14,2,321.4331139963829
8,0x96d3e8210a80e4523a57a581ae42335ab60e3f0f,269,18,6,234,11,16,2,342.9846103645492
9,0xc6d90e13271968bd966a8dc56233301a6cdb3882,329,36,24,274,11,16,2,283.5957600936351
10,0xab0ffa3f358a5c1ef43933a22aea441397d03ca5,355,16,10,307,12,16,2,255.50474406579085
11,0xcddaa7e5c94067fb33d17575982cd2007ee2289b,386,27,4,371,15,16,2,286.6226792188343
12,0xfcad154f77cc04d3427c51c95b43d059af8df497,430,35,9,423,16,17,2,276.881064681176
13,0x7a94589e742cc98ced5991b214616593189bae28,489,36,23,463,16,17,2,256.2358964348889
14,0x3674c393a275e1b60097f43afaf424238b7856dc,536,27,20,509,18,17,2,243.6575284602582
15,0x48613a2cfa6c0c5ed250bacd05c6adffd1ce56a8,590,30,24,540,18,22,3,238.5594128983156
16,0x74a945ea5877a15d788cd74cd5af86367c3e80b7,627,15,22,566,18,22,3,222.4901445905649
17,0x99d39a3087627e51791ef4c0bb7d629d0d830f0f,676,21,28,605,18,22,3,228.1277468316825
18,0x8e9b80ab1dee1a87fa2006f6ddec1322f9e6c3e5,728,38,14,647,19,24,4,256.63318859617834
19,0x49225027fe65e214d39b715d374117d9f6fe9e22,748,8,12,659,22,24,4,253.238957666139
20,0xbe8a3ea55e56d3df6ae060d4fc4bd63b32fb5318,775,13,14,676,22,24,4,249.54402605859264
21,0x54d49a68d018701d73030ba57d7d39ddfcb421d2,779,3,1,682,24,24,5,259.95953856854584
22,0xd03c1692dbd8b885ed7d7ece712db8082e8f2200,783,3,1,688,26,24,6,254.40231319340413
23,0x9f9479849c4eaaf887394cc4d00dd8334343d43f,799,5,11,698,27,24,6,256.42199350026635
24,0xc667555818c8cbb8c2d59e59b2677b699a8e59ac,805,0,6,708,27,24,6,256.4174186194532
25,0x11472162c5ec49a564c9277843889b30ccabe03f,808,3,0,714,29,24,7,257.19553167102987
26,0x0622d0ae322fa759dd41c669ead623a9ff501d96,828,7,13,729,31,24,7,251.70635022281954
27,0x5448f5f39c8f0163d12e0de0b2c807c6c04861a4,849,5,16,742,32,24,7,240.8345135345252
28,0xed9f72b2d4ca9237e4a6a2ffc6b8734396f93a38,853,3,1,749,34,24,7,252.12282746792516
29,0xafceaba9a67157e4fee0ee9edae79ccbd94fa24f,883,16,14,772,35,25,8,241.7249889186139
30,0x69a5c3a21b1bc246df8a1877485d75d31e7a020c,884,1,0,773,35,25,8,238.67207590367877
31,0xfc676b0900888ad7c6d8a55d2aed3f501facaef3,913,16,13,786,35,25,8,248.073932320595
32,0x78791a3e9852de4b5db38a136c07609cf0261b0b,917,4,0,788,35,29,9,247.7523034656343
33,0xcbfa71b7630662dcc5c5596dc4d148f46036bfb9,952,22,13,813,35,29,9,246.014689983535
34,0x67f580dcdad4c17ab3f5bead75387f63bd7a7593,986,21,13,838,35,29,9,241.29283358186188
35,0xf300af461780cc63b709de1296dadc3a4e63d95d,987,1,0,839,35,29,10,241.24245424764774
36,0x9c3da6c3b7222fa6e218be6a33b646457f9c9441,1020,21,12,867,35,29,10,244.01908278795128
37,0xdfc9b13bd2dc0afc13e3a81466bad5a6b3f15451,1063,29,14,898,35,29,10,203.0195657349562
38,0x4206db5b280263877f5374304d226b0b69605868,1086,10,13,908,36,30,13,197.63053458231477
