,Wallet_Address,Tokens_Traded,Still_Holding_OR_Dusted,Sold_Incrementally_(NotJet),Transfer_To_Other_Account_OR_NULL,Transfer_Stablecoin,Average_Profit
1,0x5301faabd1bab8b863836a23ed659b617a91d2a7,2,10,0,10,1,-69.98053325252138
2,0x6940ca4b5b0fc5d03d3b88b6f4a69e9277be33f0,49,27,1,22,4,-45.37029045604061
3,0xf78bf184a264344c1eef0997b9547ef648b25fdb,78,53,1,24,5,12.818646714817074
4,0x6d68785c7dfaf44e110828c666d93f727b11ea14,79,58,1,24,5,11.54756737287873
5,0x65050d869ed48c3fef37a55cb110de99076e9bf3,121,69,2,30,5,1.5376682439701064
6,0x4fb69089705ba5abfb0b009b35a0856a6ada0173,122,77,2,34,5,1.7129726559236143
7,0x89685bd2467ecefd36a659ab4365f172d1ea2509,158,93,3,50,6,5.4174813125536785
8,0x73e7742487b7e7281b8035e6f563b9ee5ab5fa75,160,102,3,58,6,6.433097199150646
9,0xe74a38386e8a04cfb18a342ebfdcb4f4171e7bb6,174,116,5,71,6,12.084110635330363
10,0x05141a4988db35735425e90f4c337f146e22721e,174,125,5,206,43,12.084110635330363
11,0xf435938346e98d25c37120da5ee51aecf5f98528,180,132,5,206,43,25.99936226089001
12,0xba22f00aa49ee33244ebc09649d355eab8b96501,190,160,5,221,43,23.308730342738194
13,0xad466bbef5e80673a1929c661a2515c25a65cc11,191,164,5,222,43,23.101286519342736
14,0x192fcf067d36a8bc9322b96bb66866c52c43b43f,228,188,7,252,44,31.33532857932448
15,0xa46cc7e472d22459d4d1542e84ffdfafc91e2bc5,239,195,7,260,44,38.44731129479055
16,0xc0b3ca8ce951232e33894132a11f489336473647,247,201,7,260,44,47.91733663161738
17,0x3c8cbd613857965267bcd4bdec7b794dd53969a0,259,241,7,308,55,46.0450254152039
18,0xe3108157338a6038410d18a2d70f2fe579ca7414,295,276,9,308,55,42.179159035383435
19,0x7744b303670afbcd4dc7f545ee739b7619af24bc,333,295,10,318,57,24.49660419351483
20,0x218c84c8c7a2ea94c3915bef0cd8705837c36fe0,357,299,10,344,59,21.487563621091525
21,0xe0f0ba92b969aca730e00ed15b2129f2dfeb2b44,375,300,10,346,59,20.60153369505659
22,0xf29d777378a812072e715bd6088d4033a23c1d81,398,317,10,383,79,20.63651026194027
23,0xf7c0c8e18447e143f9ca946057b390c6b0c70c08,431,359,11,391,79,18.191177430154998
24,0x62de211fd12130372ee2226fe72827145264e44f,432,361,11,393,79,17.985234588245888
25,0x8bd5e34196701be1629a1947f2a15cb8a4ae5f79,434,364,11,397,79,17.549067089826757
26,0x9d84e868ab440d01bc7e4085d7ab31c3dbfc5b5f,467,399,11,412,80,13.208436795422484
27,0x75496d932ada7af42a998d438502f7505dbccfec,467,400,11,414,80,13.208436795422484
28,0x19ae7ea8ebf54023bbf33d1c49b93d9bc792aa34,472,445,14,485,80,13.926879311374512
