,Wallet_Address,Tokens_Traded,Still_Holding_OR_Dusted,Sold_Incrementally_(NotJet),Transfer_To_Other_Account_OR_NULL,Transfer_Stablecoin,Average_Profit
1,0x31f1e18ceade12f749279af43e47a0f7ddcb44bc,1,2,1,4,0,-63.16578985737916
2,0xd3b0a3a83106f2bfde9e7ba68f5ab13d0af9dd70,2,10,1,6,0,-34.147234382860724
3,0xee6d18bb63b69703f207e0db926dad5fc6d8e0d4,17,24,1,6,0,-3.436446614331634
4,0x6ff801efa12abdf5ea3ec3eadd5e4bcdc18e116f,54,34,1,15,0,-7.372245046424647
5,0x73cea9b76e7127a67ac0ba66b47ee32eb7d65541,85,84,1,18,0,102.76275498794344
6,0xac2c6cc66aa0cf5e348df2759477b42ff5eecfd5,115,134,1,22,0,84.63282222901675
7,0x0df42b5857a28665f6f5e76900db7a0bd3aae26a,145,182,1,25,0,96.95955985054833
8,0xbe7779ab38864cf0a60d44264e9389f9e10a9051,177,229,1,28,0,130.32135858755683
9,0x8621097d2f78a56b78a774a44ee757ef5fda52c1,228,251,4,36,0,156.1935965565261
10,0x1dca3a5f625fb456630ebb9383c0f01830d19bf4,266,278,5,38,0,133.66796216482086
11,0xf88cf0b7c83d6a5aeb01c1f8504397c24625b84e,315,316,5,42,0,127.9102590658359
12,0xda36f279bca99d11de6948d8260d612a4e3993d9,322,319,5,42,0,121.90733786186253
13,0x0e711c94c9d8373952f4dd5bbf28bc4808877c5c,331,324,5,45,0,118.37653631094392
14,0x7ef3fc1bc66d86e16526a5f27f7efe070bfcffc2,366,337,6,58,4,106.50841798502606
15,0x0a3f1926e18f855cf1829b1d614a2a4606f490a3,372,342,6,58,4,108.35741555202141
16,0xf87d0baa1efcd5c433951ee28a0ac6eb9d821c9c,415,352,7,68,4,131.0870470270715
17,0x524edffa9a42769736795b33d81c58505537acec,459,386,7,68,4,118.61770627385553
18,0x1185aa173888250939438bdd13eb7e1dd9aaf9d5,460,387,7,73,4,118.60784230942909
19,0xa8fcb9ea87ec7f8052ef61cf44a4a948a6b0f302,496,394,7,94,5,105.29563193966686
20,0x451c60d7eb2c38bf3d7ab663a23ef2196ff59325,498,395,7,94,5,104.43540746072803
21,0xb420f02d96835541b476d03fa4dadd9e8cb7c670,504,398,7,109,5,103.30573550029763
22,0x853a2ccb18f06f4c29784779b5609637992d1d2d,506,403,7,124,6,102.49920399681277
23,0xe9d58d57b799f234920109eba0a73b5431ad9087,542,440,7,142,6,89.41731637601761
24,0x0c329b88f5ee14deddbcc3cf9aff5a076f387f9d,567,471,10,159,6,85.35033259545841
25,0x057b0bcf76883d4d778c4dbd9c27a3464b1f1415,570,481,10,160,6,85.34407200399056
26,0x9b2d92a625b4a44d09c991e8cdc42abc0107eb58,579,487,11,167,18,80.95503023466883
